what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1350051808614
error,log,,,"CPU architecture type not set. ",1350051808614
error,log,,,"CPU master group not set.",1350051808615
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051809682
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1350051809700
opened,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350051812514
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1350051812717
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1350051812724
activated,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350051822192
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350051846576
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051850005
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051852167
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1350051853610
activated,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350051855326
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051856515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051857061
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1350051857118
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051867167
opened,editor,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1350051867243
activated,editor,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1350051867269
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1350051867809
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1350051868093
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1350051868314
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1350051868362
activated,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1350051868377
