what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1349399809411
error,log,,,"SOPC design not set.",1349399809443
error,log,,,"CPU module not set.",1349399809443
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399809443
error,log,,,"CPU architecture type not set. ",1349399809444
error,log,,,"CPU master group not set.",1349399809444
error,log,,,"SOPC design not set.",1349399809474
error,log,,,"CPU module not set.",1349399809474
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399809474
error,log,,,"CPU architecture type not set. ",1349399809474
error,log,,,"CPU master group not set.",1349399809474
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399810508
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1349399810525
opened,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1349399813277
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1349399813450
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1349399813457
activated,view,com.altera.sbtgui.launch,10.0.0.218,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1349399823322
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399833916
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399839525
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1349399841054
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399843483
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399843513
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399843894
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399844505
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399844510
