what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1350042364671
ws,sysinfo,,,"win32",1350042364671
locale,sysinfo,,,"ko_KR",1350042364671
processors,sysinfo,,,"4",1350042364671
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350042364671
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1350042364671
java.specification.name,sysinfo,,,"Java Platform API Specification",1350042364671
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350042364671
java.specification.version,sysinfo,,,"1.6",1350042364671
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350042364671
java.version,sysinfo,,,"1.6.0_14",1350042364671
java.vm.info,sysinfo,,,"mixed mode",1350042364671
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350042364671
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350042364671
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350042364671
java.vm.specification.version,sysinfo,,,"1.0",1350042364671
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350042364671
java.vm.version,sysinfo,,,"14.0-b16",1350042364671
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1350042364998
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1350042365139
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1350042365186
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1350042365373
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1350042365373
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1350042365420
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1350042365498
