what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1349399774497
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399776127
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1349399778159
error,log,,,"SOPC design not set.",1349399778210
error,log,,,"CPU module not set.",1349399778211
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399778211
error,log,,,"CPU architecture type not set. ",1349399778211
error,log,,,"CPU master group not set.",1349399778212
error,log,,,"SOPC design not set.",1349399778214
error,log,,,"CPU module not set.",1349399778214
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399778214
error,log,,,"CPU architecture type not set. ",1349399778214
error,log,,,"CPU master group not set.",1349399778215
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1349399778215
error,log,,,"SOPC design not set.",1349399778215
error,log,,,"CPU module not set.",1349399778215
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399778216
error,log,,,"CPU architecture type not set. ",1349399778216
error,log,,,"CPU master group not set.",1349399778216
error,log,,,"No Nios II target connection paths were located. Check connections and that a Nios II .sof is downloaded.",1349399778216
error,log,,,"SOPC design not set.",1349399778217
error,log,,,"CPU module not set.",1349399778217
error,log,,,"The SOPC design does not contain a CPU of a support architecture.",1349399778217
error,log,,,"CPU architecture type not set. ",1349399778218
error,log,,,"CPU master group not set.",1349399778218
